manufacturer:	EFTX
date:	March 19, 2026
pattern_plane:	Azimuth
polarisation:	Horizontal
frequency_MHz:	539
 E / Emax (voltage)
 Angle   Magnitude
-180	0.9435
-179	0.9401
-178	0.9377
-177	0.9334
-176	0.9201
-175	0.9020
-174	0.8879
-173	0.8797
-172	0.8618
-171	0.8417
-170	0.8240
-169	0.8121
-168	0.7914
-167	0.7682
-166	0.7516
-165	0.7396
-164	0.7233
-163	0.6963
-162	0.6975
-161	0.6890
-160	0.6843
-159	0.6819
-158	0.6810
-157	0.6904
-156	0.6995
-155	0.7052
-154	0.7164
-153	0.7286
-152	0.7517
-151	0.7692
-150	0.7937
-149	0.8155
-148	0.8248
-147	0.8548
-146	0.8743
-145	0.8882
-144	0.9117
-143	0.9297
-142	0.9493
-141	0.9597
-140	0.9648
-139	0.9858
-138	0.9939
-137	0.9911
-136	1.0000
-135	0.9850
-134	0.9870
-133	0.9775
-132	0.9792
-131	0.9693
-130	0.9540
-129	0.9398
-128	0.9165
-127	0.9088
-126	0.8846
-125	0.8661
-124	0.8517
-123	0.8382
-122	0.8020
-121	0.7830
-120	0.7620
-119	0.7451
-118	0.7359
-117	0.7171
-116	0.6985
-115	0.7056
-114	0.7005
-113	0.7031
-112	0.7013
-111	0.7079
-110	0.7175
-109	0.7295
-108	0.7496
-107	0.7625
-106	0.7699
-105	0.7869
-104	0.8124
-103	0.8223
-102	0.8452
-101	0.8617
-100	0.8792
-99	0.8940
-98	0.9011
-97	0.9124
-96	0.9319
-95	0.9308
-94	0.9356
-93	0.9490
-92	0.9474
-91	0.9502
-90	0.9435
-89	0.9401
-88	0.9377
-87	0.9334
-86	0.9201
-85	0.9020
-84	0.8879
-83	0.8797
-82	0.8618
-81	0.8417
-80	0.8240
-79	0.8121
-78	0.7914
-77	0.7682
-76	0.7516
-75	0.7396
-74	0.7233
-73	0.6963
-72	0.6975
-71	0.6890
-70	0.6843
-69	0.6819
-68	0.6810
-67	0.6904
-66	0.6995
-65	0.7052
-64	0.7164
-63	0.7286
-62	0.7517
-61	0.7692
-60	0.7937
-59	0.8155
-58	0.8248
-57	0.8548
-56	0.8743
-55	0.8882
-54	0.9117
-53	0.9297
-52	0.9493
-51	0.9597
-50	0.9648
-49	0.9858
-48	0.9939
-47	0.9911
-46	1.0000
-45	0.9850
-44	0.9870
-43	0.9775
-42	0.9792
-41	0.9693
-40	0.9540
-39	0.9398
-38	0.9165
-37	0.9088
-36	0.8846
-35	0.8661
-34	0.8517
-33	0.8382
-32	0.8020
-31	0.7830
-30	0.7620
-29	0.7451
-28	0.7359
-27	0.7171
-26	0.6985
-25	0.7056
-24	0.7005
-23	0.7031
-22	0.7013
-21	0.7079
-20	0.7175
-19	0.7295
-18	0.7496
-17	0.7625
-16	0.7699
-15	0.7869
-14	0.8124
-13	0.8223
-12	0.8452
-11	0.8617
-10	0.8792
-9	0.8940
-8	0.9011
-7	0.9124
-6	0.9319
-5	0.9308
-4	0.9356
-3	0.9490
-2	0.9474
-1	0.9502
0	0.9435
1	0.9401
2	0.9377
3	0.9334
4	0.9201
5	0.9020
6	0.8879
7	0.8797
8	0.8618
9	0.8417
10	0.8240
11	0.8121
12	0.7914
13	0.7682
14	0.7516
15	0.7396
16	0.7233
17	0.6963
18	0.6975
19	0.6890
20	0.6843
21	0.6819
22	0.6810
23	0.6904
24	0.6995
25	0.7052
26	0.7164
27	0.7286
28	0.7517
29	0.7692
30	0.7937
31	0.8155
32	0.8248
33	0.8548
34	0.8743
35	0.8882
36	0.9117
37	0.9297
38	0.9493
39	0.9597
40	0.9648
41	0.9858
42	0.9939
43	0.9911
44	1.0000
45	0.9850
46	0.9870
47	0.9775
48	0.9792
49	0.9693
50	0.9540
51	0.9398
52	0.9165
53	0.9088
54	0.8846
55	0.8661
56	0.8517
57	0.8382
58	0.8020
59	0.7830
60	0.7620
61	0.7451
62	0.7359
63	0.7171
64	0.6985
65	0.7056
66	0.7005
67	0.7031
68	0.7013
69	0.7079
70	0.7175
71	0.7295
72	0.7496
73	0.7625
74	0.7699
75	0.7869
76	0.8124
77	0.8223
78	0.8452
79	0.8617
80	0.8792
81	0.8940
82	0.9011
83	0.9124
84	0.9319
85	0.9308
86	0.9356
87	0.9490
88	0.9474
89	0.9502
90	0.9435
91	0.9401
92	0.9377
93	0.9334
94	0.9201
95	0.9020
96	0.8879
97	0.8797
98	0.8618
99	0.8417
100	0.8240
101	0.8121
102	0.7914
103	0.7682
104	0.7516
105	0.7396
106	0.7233
107	0.6963
108	0.6975
109	0.6890
110	0.6843
111	0.6819
112	0.6810
113	0.6904
114	0.6995
115	0.7052
116	0.7164
117	0.7286
118	0.7517
119	0.7692
120	0.7937
121	0.8155
122	0.8248
123	0.8548
124	0.8743
125	0.8882
126	0.9117
127	0.9297
128	0.9493
129	0.9597
130	0.9648
131	0.9858
132	0.9939
133	0.9911
134	1.0000
135	0.9850
136	0.9870
137	0.9775
138	0.9792
139	0.9693
140	0.9540
141	0.9398
142	0.9165
143	0.9088
144	0.8846
145	0.8661
146	0.8517
147	0.8382
148	0.8020
149	0.7830
150	0.7620
151	0.7451
152	0.7359
153	0.7171
154	0.6985
155	0.7056
156	0.7005
157	0.7031
158	0.7013
159	0.7079
160	0.7175
161	0.7295
162	0.7496
163	0.7625
164	0.7699
165	0.7869
166	0.8124
167	0.8223
168	0.8452
169	0.8617
170	0.8792
171	0.8940
172	0.9011
173	0.9124
174	0.9319
175	0.9308
176	0.9356
177	0.9490
178	0.9474
179	0.9502
180	0.9435
